Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
16.0,Lorient,1,0,3,5,12,-7,3,Rennes,10.0,24.08.2025,14:00,home,4,0,W,team,3.04,0.07,0.51,0.49,22,5,7,1,6,0,3,2,0.88,0.87,6.0,0.0,3.44,0.03,9,3,6,1,13,0,9,4,0,1,49,4,1,1,4,2,7,17,0.68,0.42,0.8,0.73,0.24,0.0,2.06,0.14,9,12,18,7,0.86,0.36,30,45,18,29,14,8,0,1,0,2,1,3,0.03,3.44,0.03,-0.56,0.0,2.0,1.0,0.0,6,15,1,1,1,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,1,0.3,4,0.3333333333333333,0.3233333333333333
16.0,Lorient,1,0,3,5,12,-7,3,Lille,3.0,30.08.2025,16:00,home,1,7,L,opponent,1.5,3.5,0.41,0.59,6,20,2,11,3,9,3,8,0.84,0.87,3.0,3.0,1.66,4.61,3,3,1,6,5,15,1,5,0,1,11,34,0,1,3,2,17,13,0.51,0.57,0.8,0.73,0.07,0.2,0.24,1.36,13,13,14,18,0.45,0.64,42,46,22,10,17,9,0,0,1,0,4,1,4.61,1.66,-2.39,0.66,0.0,0.0,0.0,1.0,6,5,1,2,2,0.25,0.25,0.5,0.0,0.5,0,0.2,-6,0.25,0.235
2.0,Lyon,3,0,0,5,0,5,9,Lens,6.0,16.08.2025,16:00,away,1,0,W,team,1.41,1.38,0.45,0.55,11,18,3,5,2,4,8,13,0.8,0.85,3.0,2.0,1.63,1.65,7,9,1,4,8,11,3,7,0,0,21,49,0,1,1,5,13,19,0.4,0.7,0.59,0.78,0.27,0.16,0.85,1.36,9,20,20,13,0.76,0.58,43,53,34,17,7,11,1,0,0,0,5,2,1.65,1.63,1.65,0.63,0.0,0.0,0.0,0.0,7,4,0,1,1,1.0,1.0,0.5,1.0,0.5,1,0.1,1,1.0,0.73
2.0,Lyon,3,0,0,5,0,5,9,Metz,18.0,23.08.2025,20:05,home,3,0,W,team,2.76,0.57,0.52,0.48,13,11,8,2,3,0,4,3,0.92,0.91,0.0,2.0,3.06,0.98,3,3,2,6,9,7,4,4,1,0,23,17,1,0,1,3,15,13,0.6,0.73,0.75,0.81,0.5,0.33,1.4,0.49,19,11,13,15,0.39,0.67,44,36,15,5,5,2,1,0,0,0,2,5,0.98,3.06,0.98,0.06,0.0,0.0,0.0,0.0,7,9,1,1,1,1.0,1.0,1.0,1.0,0.5,2,0.30000000000000004,3,1.0,0.79
2.0,Lyon,3,0,0,5,0,5,9,Marseille,4.0,31.08.2025,19:45,home,1,0,W,team,3.04,0.76,0.58,0.42,18,5,6,2,6,2,9,4,0.86,0.79,2.0,2.0,1.54,0.45,7,1,5,2,12,3,6,2,1,0,31,6,0,1,1,1,11,15,0.58,0.37,0.83,0.57,0.24,0.0,1.14,0.37,15,19,16,11,0.8,0.57,39,43,17,31,9,4,1,0,0,0,2,5,0.45,1.54,0.45,1.54,0.0,1.0,0.0,0.0,7,8,1,1,1,1.0,1.0,1.0,1.0,0.5,3,0.6,1,1.0,0.8799999999999999
4.0,Marseille,2,0,2,9,4,5,6,Lorient,16.0,12.09.2025,19:45,home,4,0,W,team,2.26,0.14,0.72,0.28,15,4,8,1,4,0,10,0,0.93,0.84,3.0,2.0,2.6,0.01,2,1,5,2,10,3,5,1,0,0,39,5,0,0,1,0,5,16,0.75,0.42,0.88,0.65,0.38,0.5,2.25,0.1,12,8,18,5,0.43,0.75,45,40,2,21,4,6,0,1,0,0,1,4,0.01,2.6,0.01,-1.4,0.0,1.0,1.0,0.0,8,6,1,1,1,1.0,1.0,1.0,0.5,0.5,1,0.1,4,1.0,0.73
4.0,Marseille,2,0,2,9,4,5,6,Rennes,10.0,15.08.2025,19:45,away,0,1,L,opponent,1.79,1.39,0.72,0.28,24,12,2,5,3,3,12,1,0.92,0.77,3.0,2.0,0.75,1.06,13,2,9,5,15,8,9,4,2,0,34,17,0,1,0,5,8,10,0.61,0.41,0.86,0.56,0.24,0.5,1.38,0.31,17,11,11,8,0.53,0.44,33,35,16,41,4,4,1,0,0,0,4,2,1.06,0.75,0.06,0.75,0.0,1.0,0.0,0.0,8,15,0,2,2,0.5,0.5,1.0,0.0,0.5,0,0.1,-1,0.5,0.38
4.0,Marseille,2,0,2,9,4,5,6,Paris FC,15.0,23.08.2025,16:00,home,5,2,W,team,2.83,1.09,0.61,0.39,12,8,7,4,7,3,5,2,0.91,0.88,1.0,0.0,2.47,1.35,4,4,1,0,9,6,2,2,1,1,26,9,1,1,1,1,12,8,0.53,0.38,0.71,0.59,0.42,0.25,0.81,1.07,15,19,9,12,0.83,0.7,35,24,19,28,2,11,3,0,0,2,2,2,1.35,2.47,-0.65,-2.53,0.0,0.0,0.0,0.0,8,14,1,1,1,0.6666666666666666,0.6666666666666666,1.0,0.0,0.5,1,0.4,3,0.6666666666666666,0.5866666666666667
4.0,Marseille,2,0,2,9,4,5,6,Lyon,2.0,31.08.2025,19:45,away,0,1,L,opponent,0.76,3.04,0.42,0.58,5,18,2,6,2,6,4,9,0.79,0.86,2.0,2.0,0.45,1.54,1,7,2,5,3,12,2,6,0,1,6,31,1,0,1,1,15,11,0.37,0.58,0.57,0.83,0.0,0.24,0.37,1.14,19,15,11,16,0.57,0.8,43,39,31,17,4,9,0,1,0,0,5,2,1.54,0.45,1.54,0.45,1.0,0.0,0.0,0.0,8,7,0,2,2,0.5,0.5,1.0,0.0,0.5,0,0.2,-1,0.5,0.41000000000000003
18.0,Metz,0,0,3,2,7,-5,0,Strasbourg,7.0,17.08.2025,16:15,home,0,1,L,opponent,0.3,0.63,0.37,0.63,2,9,0,4,0,1,3,3,0.78,0.89,2.0,2.0,0.0,0.85,2,2,0,3,2,4,0,5,0,0,13,16,0,0,1,1,12,14,0.35,0.58,0.51,0.72,0.15,0.08,0.26,0.73,12,23,16,13,0.8,0.57,54,66,34,23,10,5,0,0,0,0,3,0,0.85,0.0,-0.15,0.0,0.0,0.0,0.0,1.0,9,16,1,2,2,0.0,0.0,0.0,0.5,0.5,0,0.0,-1,0.0,0.0
