Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent
1.0,Napoli,24,10,4,59,27,32,82,Parma,16.0,18.05.2025,19:45,away,0,0,D,draw,0.38,0.26,0.72,0.28,7.0,6.0,2.0,4.0,0.0,0.0,2.0,3.0,0.87,0.62,2.0,2.0,2.0,1.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,0.0,19.0,8.0,2.0,0.0,13.0,16.0,0.69,0.32,0.22,0.25,21.0,19.0,16.0,13.0,0.63,0.63,22.0,35.0,5.0,5.0,4.0,2.0,0.48,0.61,0.0,0.0,0.56,0.4,0.52,0.23,46.0,52.0,0.0,0.0,0.0,0.0,0.61,0.48,0.61,0.48,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Verona,14.0,18.08.2024,17:30,away,0,3,L,opponent,1.25,2.07,0.68,0.32,15.0,8.0,5.0,5.0,0.0,0.0,5.0,1.0,0.83,0.66,1.0,4.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,14.0,0.0,0.0,0.0,0.0,23.0,10.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Monza,20.0,19.04.2025,17:00,away,1,0,W,team,1.3,0.71,0.6,0.4,16.0,8.0,5.0,0.0,3.0,2.0,7.0,6.0,0.89,0.82,2.0,4.0,6.0,5.0,5.0,3.0,10.0,4.0,6.0,4.0,0.0,0.0,23.0,10.0,2.0,0.0,18.0,11.0,0.73,0.6,0.3,0.13,22.0,11.0,11.0,18.0,0.86,0.42,25.0,25.0,4.0,9.0,0.0,4.0,0.69,0.0,1.0,0.0,0.74,0.5,1.11,0.17,45.0,34.0,0.0,1.0,0.0,1.0,0.0,0.69,0.0,-0.31,1.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Empoli,18.0,20.10.2024,11:30,away,1,0,W,team,1.4,0.69,0.5,0.5,9.0,11.0,1.0,4.0,0.0,0.0,7.0,7.0,0.85,0.84,2.0,2.0,4.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,0.0,0.0,0.0,0.0,24.0,22.0,13.0,14.0,0.0,0.0,0.0,0.0,6.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Juventus,4.0,21.09.2024,17:00,away,0,0,D,draw,0.43,0.47,0.35,0.65,8.0,9.0,1.0,1.0,0.0,0.0,3.0,4.0,0.83,0.85,0.0,1.0,2.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,18.0,0.0,0.0,0.0,0.0,13.0,16.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Genoa,13.0,21.12.2024,17:00,away,2,1,W,team,1.37,0.95,0.61,0.39,12.0,11.0,2.0,3.0,2.0,0.0,6.0,5.0,0.88,0.81,1.0,2.0,7.0,6.0,3.0,2.0,9.0,9.0,3.0,2.0,1.0,1.0,25.0,18.0,2.0,0.0,8.0,8.0,0.78,0.64,0.24,0.35,25.0,11.0,8.0,8.0,0.62,0.71,21.0,15.0,7.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Como,10.0,23.02.2025,11:30,away,1,2,L,opponent,1.14,0.56,0.57,0.43,13.0,8.0,4.0,3.0,2.0,0.0,6.0,4.0,0.84,0.77,3.0,1.0,5.0,1.0,4.0,4.0,8.0,6.0,5.0,2.0,0.0,0.0,21.0,17.0,3.0,1.0,17.0,14.0,0.65,0.66,0.29,0.13,24.0,9.0,14.0,17.0,0.59,0.68,17.0,37.0,7.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Cagliari,15.0,23.05.2025,19:45,home,2,0,W,team,2.27,0.08,0.67,0.33,18.0,4.0,6.0,1.0,3.0,0.0,8.0,3.0,0.91,0.82,2.0,1.0,4.0,0.0,8.0,3.0,16.0,2.0,2.0,2.0,0.0,0.0,33.0,6.0,1.0,1.0,14.0,14.0,0.8,0.63,0.19,0.17,16.0,10.0,14.0,14.0,0.78,0.67,16.0,27.0,2.0,5.0,1.0,4.0,2.59,0.17,1.0,0.0,0.58,0.32,0.75,0.16,39.0,32.0,0.0,1.0,0.0,0.0,0.17,2.59,0.17,0.59,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,AS Roma,5.0,24.11.2024,17:00,home,1,0,W,team,1.98,0.58,0.63,0.37,14.0,6.0,2.0,1.0,2.0,1.0,8.0,2.0,0.9,0.79,0.0,3.0,9.0,4.0,3.0,1.0,8.0,4.0,6.0,2.0,0.0,1.0,22.0,15.0,1.0,2.0,9.0,8.0,0.82,0.64,0.2,0.22,18.0,15.0,8.0,9.0,0.67,0.57,19.0,24.0,9.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Juventus,4.0,25.01.2025,17:00,home,2,1,W,team,2.41,0.78,0.49,0.51,14.0,5.0,3.0,2.0,3.0,2.0,9.0,1.0,0.89,0.87,2.0,2.0,5.0,3.0,6.0,0.0,10.0,3.0,4.0,2.0,0.0,0.0,26.0,12.0,1.0,1.0,15.0,9.0,0.81,0.66,0.24,0.0,19.0,16.0,9.0,15.0,0.64,0.31,17.0,20.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
