Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
7.0,Charleroi,2,3,1,10,8,2,9,St. Truiden,2.0,03.08.2025,18:15,home,1,1,D,draw,0.72,1.51,0.37,0.63,4,14,2,4,1,1,1,7,0.7,0.84,5.0,1.0,1.72,1.09,0,5,2,5,2,10,2,4,0,0,1.0,0.0,10,29,0,3,1,1,14,18,0.4,0.56,0.44,0.7,0.0,0.25,0.26,1.15,21,28,18,14,0.64,0.45,52,44,37,14,3,11,0,0,0,1,3,1,1.09,1.72,0.09,0.72,1.0,0.0,3,13,1,0,0,0.0,0.0,0.0,0.5,0.5,0,0.0,0,0.0,0.0
7.0,Charleroi,2,3,1,10,8,2,9,RAAL La Louviere,14.0,10.08.2025,12:30,away,0,1,L,opponent,0.91,0.92,0.67,0.33,15,11,4,2,1,2,3,4,0.84,0.69,0.0,3.0,1.28,0.16,6,7,5,2,8,7,7,4,0,1,0.0,0.0,21,21,0,0,1,3,10,9,0.64,0.41,0.69,0.63,0.25,0.26,1.31,0.83,23,19,11,11,0.61,0.94,50,43,22,29,4,9,0,1,0,0,1,4,0.16,1.28,0.16,1.28,0.0,0.0,3,10,0,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-1,0.0,0.0
7.0,Charleroi,2,3,1,10,8,2,9,Cercle Brugge KSV,9.0,14.09.2025,15:00,away,3,2,W,team,1.33,1.84,0.43,0.57,9,8,4,2,1,2,3,4,0.71,0.75,2.0,1.0,1.09,1.64,3,4,2,2,6,4,3,4,0,0,1.0,0.0,17,28,0,0,3,2,7,11,0.47,0.48,0.62,0.58,0.29,0.23,0.92,0.64,21,37,12,7,0.62,0.64,45,44,51,21,13,5,0,0,0,1,0,1,1.64,1.09,-0.36,-1.91,0.0,0.0,3,2,0,1,1,0.3333333333333333,0.3333333333333333,0.0,0.5,0.5,1,0.3,1,0.3333333333333333,0.3233333333333333
7.0,Charleroi,2,3,1,10,8,2,9,Antwerp,8.0,17.08.2025,17:30,home,1,1,D,draw,0.81,0.74,0.52,0.48,13,10,4,5,0,1,4,1,0.79,0.81,3.0,3.0,0.99,0.99,4,3,5,2,7,5,6,5,0,0,0.0,0.0,31,11,0,0,1,3,17,18,0.35,0.45,0.75,0.65,0.35,0.06,1.12,0.3,16,19,18,17,0.83,0.6,51,52,25,41,3,6,0,0,1,0,4,3,0.99,0.99,-0.01,-0.01,0.0,0.0,3,1,1,0,0,0.25,0.25,0.0,0.5,0.5,0,0.2,0,0.25,0.235
7.0,Charleroi,2,3,1,10,8,2,9,Leuven,15.0,27.07.2025,15:00,away,2,2,D,draw,1.31,1.19,0.56,0.44,15,7,7,3,0,2,8,4,0.83,0.78,2.0,2.0,2.0,2.09,5,3,3,1,13,6,2,1,0,0,0.0,1.0,26,16,0,0,5,2,15,14,0.61,0.42,0.7,0.57,0.19,0.18,1.06,0.72,24,17,14,15,0.44,0.63,54,55,22,39,5,6,1,1,1,0,1,5,2.09,2.0,0.09,0.0,0.0,0.0,3,9,0,0,0,0.2,0.2,0.0,0.3333333333333333,0.5,0,0.1,0,0.2,0.17
7.0,Charleroi,2,3,1,10,8,2,9,Dender,16.0,30.08.2025,19:45,home,3,1,W,team,1.82,0.6,0.5,0.5,11,9,4,4,1,0,5,4,0.83,0.78,1.0,0.0,1.84,0.84,3,2,4,3,8,6,3,3,0,0,0.0,0.0,27,16,0,0,3,1,14,12,0.65,0.29,0.75,0.53,0.11,0.22,0.88,0.93,13,25,12,14,0.53,0.71,58,46,22,17,15,6,0,0,0,0,3,1,0.84,1.84,-0.16,-1.16,0.0,0.0,3,5,1,1,1,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.5,1,0.3,2,0.4,0.37000000000000005
5.0,Club Brugge KV,3,1,2,7,5,2,10,KV Mechelen,3.0,01.08.2025,19:45,away,1,2,L,opponent,1.61,2.02,0.65,0.35,20,9,6,5,4,4,3,2,0.9,0.82,0.0,4.0,0.66,2.69,9,2,5,2,13,6,7,3,0,0,0.0,0.0,44,8,0,1,1,1,11,7,0.76,0.52,0.79,0.62,0.38,0.27,2.17,0.57,18,14,7,11,0.54,0.6,44,21,13,25,6,13,0,0,0,0,3,5,2.69,0.66,0.31,-0.34,0.0,0.0,4,8,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-1,0.0,0.0
5.0,Club Brugge KV,3,1,2,7,5,2,10,Cercle Brugge KSV,9.0,09.08.2025,15:00,home,2,0,W,team,1.74,0.94,0.65,0.35,14,10,5,2,3,3,9,5,0.87,0.76,2.0,3.0,1.13,0.34,4,7,5,1,9,8,5,2,0,0,1.0,0.0,32,21,0,0,3,1,8,15,0.68,0.33,0.76,0.65,0.05,0.22,1.01,1.0,18,16,15,11,0.58,0.67,41,42,23,32,1,7,0,0,0,1,2,3,0.34,1.13,0.34,-0.87,0.0,1.0,4,2,1,1,1,0.5,0.5,1.0,0.0,0.5,1,0.2,2,0.5,0.41000000000000003
5.0,Club Brugge KV,3,1,2,7,5,2,10,RAAL La Louviere,14.0,13.09.2025,19:45,away,0,1,L,opponent,2.12,0.73,0.69,0.31,21,13,6,4,2,0,6,5,0.87,0.67,2.0,0.0,1.22,0.34,6,8,9,1,14,9,7,4,0,0,0.0,1.0,38,20,0,0,2,2,14,9,0.66,0.39,0.82,0.62,0.38,0.15,1.13,0.94,17,20,10,15,0.71,0.74,47,44,21,21,3,4,0,0,1,0,3,6,0.34,1.22,-0.66,1.22,0.0,0.0,4,10,0,2,2,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,0,0.2,-1,0.3333333333333333,0.29333333333333333
5.0,Club Brugge KV,3,1,2,7,5,2,10,Waregem,13.0,16.08.2025,15:00,away,1,0,W,team,1.18,0.14,0.68,0.32,18,5,4,1,1,0,9,3,0.87,0.74,2.0,1.0,1.99,0.05,7,1,7,3,12,0,6,5,1,0,0.0,0.0,31,4,0,0,1,0,8,9,0.63,0.38,0.84,0.57,0.33,0.11,1.17,0.12,20,23,9,9,0.67,0.57,49,40,14,38,10,6,0,2,0,0,1,3,0.05,1.99,0.05,0.99,0.0,0.0,4,14,0,1,1,0.5,0.5,1.0,0.3333333333333333,0.5,1,0.4,1,0.5,0.47
