Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent
7.0,Famalicao,12,11,11,44,39,5,47,Estrela,15.0,19.08.2024,20:15,away,3,0,W,team,1.7,0.48,0.49,0.51,14.0,11.0,8.0,2.0,4.0,2.0,0.0,0.0,1.0,3.0,4.0,8.0,2.0,1.0,0.0,2.0,13.0,18.0,34.0,26.0,16.0,10.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,Moreirense,10.0,21.09.2024,20:30,away,0,0,D,draw,0.2,0.61,0.58,0.42,6.0,8.0,1.0,3.0,3.0,4.0,0.0,0.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,29.0,21.0,22.0,21.0,15.0,24.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,SC Farense,17.0,21.12.2024,15:30,home,1,2,L,opponent,1.22,0.25,0.73,0.27,11.0,7.0,1.0,5.0,7.0,4.0,0.86,0.65,3.0,6.0,8.0,1.0,2.0,1.0,0.0,2.0,19.0,5.0,26.0,23.0,5.0,19.0,3.0,10.0,3.0,0.0,1.0,0.0,9.0,5.0,2.0,2.0,2.0,0.0,0.0,1.0,21.0,9.0,0.75,0.53,0.2,0.33,0.77,0.67,13.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,Moreirense,10.0,23.02.2025,20:30,home,2,0,W,team,0.85,0.5,0.49,0.51,17.0,8.0,4.0,6.0,3.0,1.0,0.8,0.82,3.0,3.0,9.0,2.0,4.0,0.0,0.0,1.0,17.0,19.0,21.0,29.0,19.0,17.0,6.0,11.0,6.0,2.0,3.0,2.0,9.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,26.0,10.0,0.67,0.6,0.3,0.08,0.63,0.33,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,Boavista,18.0,24.08.2024,20:30,home,1,0,W,team,0.66,0.16,0.52,0.48,10.0,5.0,4.0,2.0,7.0,3.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,22.0,21.0,28.0,35.0,18.0,16.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,Estrela,15.0,25.01.2025,15:30,home,0,0,D,draw,0.55,0.12,0.69,0.31,10.0,4.0,2.0,1.0,5.0,2.0,0.84,0.64,1.0,3.0,5.0,2.0,3.0,1.0,1.0,3.0,15.0,14.0,41.0,21.0,14.0,15.0,5.0,10.0,1.0,2.0,2.0,0.0,5.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,12.0,3.0,0.69,0.43,0.22,0.14,0.56,0.76,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,Braga,4.0,25.04.2025,20:30,home,1,1,D,draw,2.03,0.85,0.44,0.56,9.0,13.0,4.0,3.0,6.0,9.0,0.76,0.82,1.0,4.0,4.0,4.0,1.0,6.0,0.0,4.0,15.0,16.0,21.0,22.0,16.0,15.0,8.0,12.0,2.0,3.0,2.0,2.0,7.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,16.0,18.0,0.61,0.66,0.11,0.15,0.73,0.6,28.0,19.0,0.0,0.0,1.18,0.37,2.0,0.0,0.42,0.46,0.78,0.47,53.0,47.0,0.0,0.0,1.0,0.0,0.37,1.18,0.37,0.2
7.0,Famalicao,12,11,11,44,39,5,47,Sporting CP,1.0,26.10.2024,20:30,home,0,3,L,opponent,0.2,3.75,0.36,0.64,6.0,33.0,1.0,13.0,4.0,8.0,0.81,0.88,1.0,1.0,4.0,9.0,1.0,11.0,3.0,2.0,10.0,7.0,16.0,24.0,7.0,10.0,10.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,Nacional,14.0,29.09.2024,15:30,home,0,0,D,draw,0.7,0.57,0.66,0.34,16.0,11.0,5.0,4.0,8.0,4.0,0.0,0.0,1.0,4.0,6.0,6.0,5.0,1.0,1.0,2.0,26.0,16.0,29.0,29.0,13.0,22.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,AFS,16.0,30.03.2025,15:30,home,4,1,W,team,2.37,0.53,0.6,0.4,16.0,6.0,4.0,1.0,4.0,2.0,0.86,0.8,2.0,2.0,11.0,3.0,1.0,2.0,1.0,0.0,21.0,15.0,17.0,18.0,15.0,21.0,6.0,18.0,0.0,0.0,5.0,1.0,12.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,30.0,9.0,0.78,0.59,0.28,0.3,0.86,0.69,16.0,19.0,0.0,0.0,1.99,0.92,0.0,0.0,0.57,0.55,1.17,0.52,45.0,53.0,0.0,1.0,0.0,0.0,0.92,1.99,-0.08,-2.01
7.0,Famalicao,12,11,11,44,39,5,47,Santa Clara,5.0,30.12.2024,20:15,home,1,2,L,opponent,1.04,1.39,0.69,0.31,18.0,7.0,5.0,3.0,5.0,4.0,0.87,0.74,3.0,3.0,7.0,3.0,6.0,1.0,1.0,0.0,13.0,11.0,26.0,18.0,11.0,13.0,10.0,11.0,1.0,4.0,1.0,2.0,7.0,5.0,11.0,2.0,0.0,0.0,1.0,1.0,18.0,12.0,0.75,0.52,0.17,0.44,0.5,0.69,9.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
