Rank,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,opponent_rank,Time,team_goals,opponent_goals,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent
6.0,2,3,0,10,4,6,9,18.0,0.9926650361894058,3,0,1.97,0.78,0.68,0.32,8,7,6,3,3,3,5,3,0.9,0.81,1,3,3.01,0.67,2,3,0,1,5,4,3,3,0,0,1.0,0.0,22,11,2,1,3,6,9,9,0.65,0.46,0.76,0.55,0.33,0.06,0.95,0.21,24,9,10,9,0.2,0.5,27,45,23,18,6,13,2,1,0,0,3,3,0.67,3.01,0.67,0.01,0.0,0.0
6.0,2,3,0,10,4,6,9,14.0,0.8801955985915914,3,0,1.5,2.21,0.67,0.33,12,12,6,3,3,5,5,1,0.88,0.73,1,2,1.37,0.18,3,6,3,3,6,9,6,3,0,1,0.0,0.0,23,13,0,3,0,2,14,6,0.52,0.42,0.77,0.45,0.17,0.27,0.64,0.99,17,28,6,15,0.57,0.6,40,29,24,19,3,6,1,1,0,1,3,3,0.18,1.37,0.18,-1.63,0.0,0.0
6.0,2,3,0,10,4,6,9,17.0,0.9926650361894058,2,2,2.3,0.51,0.76,0.24,21,4,5,2,2,2,11,3,0.88,0.61,2,3,1.83,0.75,11,1,5,1,13,4,8,0,1,0,1.0,0.0,51,11,0,0,2,0,11,7,0.64,0.32,0.8,0.36,0.19,0.29,1.07,0.27,26,19,9,12,0.56,0.64,39,43,16,45,10,10,1,0,1,1,0,3,0.75,1.83,-1.25,-0.17,0.0,0.0
6.0,2,3,0,10,4,6,9,15.0,0.9926650361894058,2,2,2.19,1.05,0.72,0.28,20,5,9,3,4,1,7,1,0.89,0.68,2,3,2.64,1.37,8,1,3,1,11,4,9,1,0,0,0.0,0.0,38,12,2,0,1,3,13,12,0.44,0.3,0.78,0.34,0.16,0.25,1.88,0.14,28,16,12,13,0.44,0.5,45,41,20,36,3,8,0,0,0,1,1,7,1.37,2.64,-0.63,0.64,0.0,0.0
7.0,2,2,1,4,2,2,8,13.0,0.7481662588028526,2,0,0.65,0.85,0.41,0.59,12,15,2,4,0,1,6,14,0.64,0.75,6,3,0.83,0.66,6,8,4,3,7,11,5,4,2,1,0.0,0.0,11,22,0,0,1,4,20,15,0.27,0.44,0.44,0.49,0.13,0.34,0.21,0.99,22,30,16,21,0.6,0.71,50,55,44,39,8,5,0,0,0,0,4,0,0.66,0.83,0.66,-1.17,0.0,0.0
7.0,2,2,1,4,2,2,8,1.0,0.9853300728678092,0,2,1.12,1.55,0.41,0.59,14,15,2,4,1,3,1,5,0.81,0.88,2,4,0.35,1.87,7,8,5,3,9,11,5,4,0,0,0.0,1.0,15,24,0,0,0,1,20,8,0.43,0.46,0.66,0.72,0.2,0.43,0.65,1.14,19,20,9,20,0.87,0.79,48,45,20,15,5,9,0,2,0,0,2,2,1.87,0.35,-0.13,0.35,0.0,0.0
7.0,2,2,1,4,2,2,8,5.0,0.7481662588028526,0,0,1.25,0.39,0.55,0.45,20,11,8,3,0,0,9,2,0.84,0.78,1,3,1.08,0.22,7,7,5,1,11,8,9,3,0,0,0.0,0.0,28,20,0,0,3,2,17,17,0.54,0.4,0.72,0.53,0.35,0.29,0.89,0.23,14,21,18,17,0.67,0.52,55,55,29,35,4,6,2,1,0,0,3,8,0.22,1.08,0.22,1.08,0.0,0.0
7.0,2,2,1,4,2,2,8,3.0,0.9853300728678092,2,0,0.86,0.73,0.46,0.54,12,10,4,0,1,1,4,3,0.83,0.88,1,2,1.0,0.0,3,6,5,4,7,4,5,6,0,0,1.0,0.0,19,14,0,0,0,1,11,17,0.6,0.47,0.69,0.73,0.14,0.27,0.59,0.45,20,14,18,12,0.92,0.62,48,47,18,29,8,11,1,0,0,1,0,2,0.0,1.0,0.0,-1.0,0.0,0.0
8.0,2,1,2,6,8,-2,7,1.0,0.9999999995110024,0,3,0.51,2.73,0.51,0.49,10,17,2,9,0,6,4,7,0.83,0.86,3,1,0.15,2.57,4,6,4,2,5,10,5,7,0,0,0.0,1.0,11,27,0,0,2,2,18,9,0.51,0.54,0.77,0.67,0.15,0.25,0.29,0.74,21,9,9,18,0.5,0.5,43,32,20,22,5,8,3,0,1,0,6,2,2.57,0.15,-0.43,0.15,0.0,0.0
8.0,2,1,2,6,8,-2,7,16.0,0.7481662588028526,2,0,1.54,0.52,0.4,0.6,14,10,6,1,3,0,2,3,0.8,0.85,0,2,2.12,0.79,6,9,2,0,9,4,5,6,0,1,1.0,0.0,15,13,0,0,0,0,8,10,0.47,0.53,0.72,0.63,0.36,0.25,1.1,0.46,26,20,11,10,0.87,0.64,42,37,28,19,10,1,0,0,0,0,1,4,0.79,2.12,0.79,0.12,0.0,0.0
