Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent
16.0,Willem II,6,8,20,34,56,-22,26,Telstar,0.0,01.06.2025,17:00,home,1,3,L,opponent,0.85,2.0,0.61,0.39,15,10,4,4,1.0,3.0,7,4,0.79,0.72,2.0,2.0,8,3,3,3,8.0,7.0,7.0,3.0,2.0,0.0,24.0,23.0,2,2,16.0,15.0,0.69,0.58,0.12,0.31,34,10,15,16,0.63,0.47,10.0,41.0,5.0,9.0,1,3,0.0,1.0,1.24,2.55,1.0,0.0,0.47,0.43,0.62,0.85,46.0,53.0,1.0,0.0,0.0,0.0,2.55,1.24,-0.45,0.24,0.0,0.0
16.0,Willem II,6,8,20,34,56,-22,26,AZ Alkmaar,5.0,02.02.2025,19:00,home,0,2,L,opponent,0.22,2.27,0.45,0.55,3,17,1,7,1.0,3.0,1,10,0.83,0.85,4.0,0.0,1,6,1,4,2.0,12.0,1.0,5.0,0.0,4.0,14.0,40.0,1,2,7.0,14.0,0.68,0.74,0.0,0.25,15,13,14,7,0.4,0.6,26.0,26.0,13.0,7.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,Willem II,6,8,20,34,56,-22,26,Sparta Rotterdam,12.0,02.03.2025,15:45,away,0,4,L,opponent,0.28,2.2,0.46,0.54,9,22,3,11,0.0,3.0,5,9,0.79,0.84,2.0,1.0,1,7,5,4,6.0,15.0,3.0,7.0,0.0,1.0,11.0,30.0,0,3,10.0,7.0,0.75,0.71,0.12,0.25,18,10,7,10,0.69,0.56,32.0,29.0,5.0,10.0,7,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,Willem II,6,8,20,34,56,-22,26,Twente,6.0,02.11.2024,15:30,home,0,1,L,opponent,0.49,2.07,0.46,0.54,8,19,1,6,0.0,0.0,4,6,0.8,0.83,4.0,1.0,6,6,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,12.0,10.0,0.0,0.0,0.0,0.0,16,17,10,12,0.0,0.0,0.0,0.0,8.0,6.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,Willem II,6,8,20,34,56,-22,26,Nijmegen,8.0,03.05.2025,15:30,away,1,1,D,draw,0.56,2.83,0.5,0.5,10,21,3,4,0.0,4.0,2,4,0.8,0.78,2.0,2.0,5,17,2,0,5.0,15.0,5.0,6.0,0.0,2.0,14.0,22.0,1,1,15.0,9.0,0.66,0.61,0.14,0.45,8,26,9,15,0.53,0.64,26.0,13.0,9.0,10.0,3,2,0.0,1.0,0.49,2.58,0.0,0.0,0.47,0.45,0.51,2.35,67.0,43.0,0.0,2.0,0.0,0.0,2.58,0.49,1.58,0.49,0.0,0.0
16.0,Willem II,6,8,20,34,56,-22,26,Heerenveen,9.0,04.04.2025,19:00,away,1,3,L,opponent,1.42,1.74,0.51,0.49,13,22,3,9,2.0,3.0,6,9,0.86,0.81,1.0,0.0,7,5,3,8,10.0,14.0,3.0,8.0,0.0,1.0,18.0,26.0,0,1,12.0,7.0,0.75,0.74,0.47,0.24,16,17,7,12,0.42,0.78,29.0,22.0,9.0,9.0,6,2,0.0,0.0,0.8,3.58,0.0,1.0,0.58,0.4,1.64,1.23,53.0,55.0,1.0,0.0,0.0,0.0,3.58,0.8,0.58,-0.2,0.0,0.0
16.0,Willem II,6,8,20,34,56,-22,26,Almere City,18.0,04.10.2024,19:00,away,1,0,W,team,0.41,1.6,0.5,0.5,4,22,1,7,0.0,0.0,5,6,0.82,0.82,3.0,1.0,1,10,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,17,29,13,9,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,Willem II,6,8,20,34,56,-22,26,PSV,1.0,08.02.2025,17:45,away,1,1,D,draw,0.68,0.94,0.35,0.65,8,15,3,5,3.0,4.0,2,6,0.75,0.86,2.0,0.0,4,9,1,1,5.0,12.0,3.0,3.0,0.0,0.0,10.0,44.0,0,0,8.0,7.0,0.63,0.72,0.13,0.31,16,19,7,8,0.42,0.5,32.0,12.0,10.0,11.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,Willem II,6,8,20,34,56,-22,26,Heerenveen,9.0,08.12.2024,13:30,home,1,2,L,opponent,0.7,1.87,0.4,0.6,10,19,4,3,1.0,1.0,2,3,0.78,0.86,2.0,2.0,6,7,0,9,4.0,13.0,5.0,6.0,1.0,0.0,13.0,33.0,2,2,10.0,14.0,0.73,0.67,0.17,0.29,23,13,14,10,0.5,0.57,22.0,26.0,9.0,9.0,1,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,Willem II,6,8,20,34,56,-22,26,Utrecht,4.0,09.03.2025,11:15,home,2,3,L,opponent,1.11,1.61,0.36,0.64,13,15,6,6,4.0,3.0,4,5,0.7,0.83,0.0,2.0,4,4,3,5,7.0,10.0,6.0,5.0,0.0,0.0,16.0,21.0,0,0,10.0,14.0,0.51,0.74,0.24,0.31,21,24,14,10,0.44,0.53,37.0,36.0,8.0,7.0,3,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
