Rank,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,opponent_rank,Time,team_goals,opponent_goals,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent
1.0,21,5,4,55,33,22,68,3.0,0.749999999625,1,2,0.82,2.22,0.66,0.34,10,10,3,4,2.0,5.0,5,4,0.86,0.7,1.0,2.0,0.0,0.0,3,3,4.0,3.0,7.0,7.0,3.0,3.0,0.0,0.0,18.0,16.0,3,1,12.0,9.0,0.7,0.53,0.15,0.2,39,16,9,12,0.42,0.75,25.0,40.0,6.0,11.0,2,2,0.33,1.53,0.0,0.0,0.0,1.0,0.66,0.4,0.42,0.64,46.0,51.0,1.53,0.33,-0.47,-0.67
1.0,21,5,4,55,33,22,68,14.0,0.6149999996925,3,2,2.33,1.33,0.67,0.33,19,13,7,5,0.0,0.0,9,1,0.91,0.78,1.0,4.0,0.0,2.0,9,2,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11.0,8.0,0.0,0.0,0.0,0.0,17,22,8,11,0.0,0.0,0.0,0.0,8.0,11.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,12.0,0.8649999995675,4,0,0.0,0.0,0.62,0.38,28,5,13,2,0.0,0.0,8,3,0.0,0.0,0.0,2.0,0.0,0.0,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,14,20,12,7,0.0,0.0,0.0,0.0,0.0,0.0,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,4.0,0.6149999996925,2,0,2.4,0.31,0.52,0.48,17,7,5,2,5.0,0.0,10,5,0.88,0.87,1.0,1.0,0.0,0.0,8,3,4.0,2.0,10.0,4.0,7.0,3.0,0.0,0.0,29.0,17.0,1,2,8.0,6.0,0.78,0.71,0.38,0.17,13,13,6,8,0.71,0.42,25.0,20.0,8.0,11.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,6.0,0.749999999625,0,0,0.99,1.32,0.57,0.43,18,11,3,3,0.0,1.0,7,5,0.84,0.77,2.0,2.0,0.0,0.0,13,5,2.0,3.0,15.0,9.0,3.0,2.0,1.0,0.0,35.0,29.0,2,1,13.0,10.0,0.77,0.69,0.27,0.21,25,19,10,13,0.65,0.55,17.0,39.0,7.0,9.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,5.0,0.9649999995174999,1,1,1.18,1.89,0.59,0.41,12,14,3,5,3.0,3.0,4,5,0.87,0.79,0.0,3.0,0.0,0.0,7,4,2.0,5.0,7.0,8.0,5.0,6.0,0.0,1.0,20.0,31.0,2,1,12.0,8.0,0.81,0.61,0.22,0.35,22,15,8,12,0.62,0.64,30.0,27.0,10.0,4.0,4,2,0.76,1.71,1.0,1.0,2.0,0.0,0.53,0.39,1.74,1.25,38.0,48.0,1.71,0.76,0.64,-0.24
1.0,21,5,4,55,33,22,68,10.0,0.97249999951375,3,0,2.65,0.87,0.59,0.41,18,13,7,6,2.0,1.0,5,2,0.86,0.78,1.0,2.0,0.0,0.0,7,5,4.0,2.0,10.0,10.0,8.0,3.0,2.0,0.0,21.0,25.0,2,1,10.0,6.0,0.7,0.67,0.1,0.29,17,22,6,10,0.45,0.53,26.0,25.0,11.0,9.0,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,9.0,0.749999999625,2,1,0.75,1.47,0.55,0.45,6,14,2,6,1.0,2.0,0,7,0.86,0.83,3.0,1.0,0.0,0.0,3,5,1.0,3.0,4.0,12.0,2.0,2.0,1.0,0.0,21.0,34.0,2,2,8.0,4.0,0.76,0.72,0.38,0.13,24,20,4,8,0.59,0.69,25.0,10.0,14.0,17.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,4.0,0.8649999995675,2,1,1.47,1.15,0.55,0.45,14,17,7,3,2.0,2.0,3,4,0.88,0.86,0.0,2.0,0.0,0.0,6,10,1.0,4.0,9.0,12.0,5.0,5.0,0.0,1.0,20.0,30.0,2,0,15.0,13.0,0.74,0.83,0.19,0.36,23,14,13,15,0.59,0.7,14.0,18.0,7.0,7.0,2,5,2.06,0.55,0.0,0.0,0.0,0.0,0.67,0.53,0.76,0.6,50.0,46.0,0.55,2.06,-0.45,0.06
1.0,21,5,4,55,33,22,68,5.0,0.6149999996925,2,2,3.29,1.12,0.55,0.45,29,9,11,3,5.0,3.0,9,5,0.83,0.81,1.0,2.0,0.0,0.0,11,3,7.0,3.0,20.0,8.0,9.0,1.0,0.0,0.0,48.0,13.0,1,3,13.0,9.0,0.74,0.61,0.25,0.55,17,15,9,13,0.84,0.57,8.0,35.0,10.0,9.0,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
