Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
2.0,Chelsea,2,1,0,7,1,6,7,Fulham,18.0,30.08.2025,12:30,home,2,0,W,team,2.35,1.02,0.54,0.46,13,11,6,3,3,1,6,4,0.87,0.81,2.0,2.0,3.18,0.1,1,6,6,2,10,8,3,3,0,0,27,20,1,1,3,1,16,11,0.36,0.4,0.78,0.68,0.31,0.33,0.84,0.47,18,20,11,17,0.47,0.41,60,56,20,20,18,6,1,1,0,0,3,4,0.1,3.18,-0.9,1.18,0.0,0.0,1.0,0.0,6,9,1,1,1,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,2,0.5,2,0.6666666666666666,0.6166666666666666
8.0,Crystal Palace,1,2,0,4,1,3,5,Chelsea,2.0,17.08.2025,14:00,away,0,0,D,draw,0.66,1.61,0.29,0.71,11,19,4,3,1,2,2,11,0.74,0.9,3.0,2.0,0.26,0.65,3,7,4,9,4,11,7,8,0,0,8,31,0,1,0,0,10,10,0.42,0.43,0.52,0.79,0.09,0.21,0.09,1.34,18,21,12,10,0.81,0.46,47,52,41,19,7,11,1,1,0,0,3,4,0.65,0.26,0.65,-0.74,0.0,0.0,0.0,0.0,7,6,0,0,0,0.0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0.0
8.0,Crystal Palace,1,2,0,4,1,3,5,Nottingham,0.0,24.08.2025,14:00,home,1,1,D,draw,1.1,0.93,0.42,0.58,8,9,4,1,2,2,1,3,0.76,0.86,3.0,3.0,0.83,0.26,4,7,0,1,7,8,1,1,1,1,21,20,0,2,2,2,11,10,0.16,0.55,0.56,0.69,0.33,0.12,0.9,0.82,14,16,11,11,0.55,0.58,49,45,21,15,7,10,0,0,0,1,0,3,0.26,0.83,-0.74,-0.17,0.0,0.0,0.0,0.0,7,15,1,0,0,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0.0
8.0,Crystal Palace,1,2,0,4,1,3,5,Aston Villa,19.0,31.08.2025,19:00,away,3,0,W,team,2.65,1.14,0.42,0.58,6,13,4,4,4,2,1,10,0.85,0.89,3.0,2.0,2.45,1.01,1,8,1,1,5,10,1,3,0,0,14,20,2,0,2,0,7,13,0.44,0.64,0.69,0.77,0.18,0.19,1.19,0.68,9,20,14,7,0.62,0.45,48,37,37,17,10,6,1,0,0,0,4,1,1.01,2.45,1.01,-0.55,0.0,0.0,1.0,0.0,7,1,0,1,1,0.3333333333333333,0.3333333333333333,0.0,0.5,0.5,1,0.3,3,0.3333333333333333,0.3233333333333333
5.0,Everton,2,0,1,5,3,2,6,Leeds,12.0,18.08.2025,20:00,away,0,1,L,opponent,0.8,2.14,0.46,0.54,7,21,1,3,1,3,2,7,0.79,0.83,2.0,0.0,0.1,1.07,3,7,3,11,5,12,2,9,0,0,14,28,0,0,2,1,6,7,0.32,0.45,0.62,0.73,0.36,0.27,0.44,0.84,21,23,8,6,0.75,0.47,47,45,31,30,2,9,2,0,0,0,2,1,1.07,0.1,0.07,0.1,0.0,0.0,0.0,0.0,8,10,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-1,0.0,0.0
5.0,Everton,2,0,1,5,3,2,6,Brighton,11.0,24.08.2025,14:00,home,2,0,W,team,1.59,2.44,0.42,0.58,11,13,3,4,2,3,2,2,0.75,0.84,4.0,3.0,1.21,1.54,7,5,1,4,6,7,5,6,0,2,18,29,0,0,0,6,15,6,0.45,0.27,0.61,0.68,0.33,0.27,0.99,0.87,19,27,7,15,0.53,0.47,70,47,35,24,8,5,2,0,0,0,4,1,1.54,1.21,1.54,-0.79,0.0,0.0,0.0,0.0,8,4,1,1,1,0.5,0.5,1.0,0.0,0.5,1,0.2,2,0.5,0.41000000000000003
5.0,Everton,2,0,1,5,3,2,6,Wolves,20.0,30.08.2025,15:00,away,3,2,W,team,1.93,1.11,0.42,0.58,10,12,4,4,3,2,2,2,0.74,0.8,1.0,0.0,2.58,1.15,2,3,4,5,7,6,3,6,0,0,23,22,4,0,1,2,15,9,0.36,0.36,0.64,0.58,0.15,0.5,1.44,0.48,23,30,10,15,0.69,0.57,63,47,28,19,16,10,1,2,1,0,2,1,1.15,2.58,-0.85,-0.42,0.0,0.0,1.0,0.0,8,19,0,1,1,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,2,0.5,1,0.6666666666666666,0.6166666666666666
18.0,Fulham,0,2,1,2,4,-2,2,Brighton,11.0,16.08.2025,15:00,away,1,1,D,draw,0.76,1.47,0.5,0.5,7,10,2,4,2,2,3,4,0.83,0.88,3.0,3.0,0.73,1.02,4,5,1,1,5,6,2,4,0,0,19,25,0,0,2,3,16,15,0.55,0.56,0.64,0.73,0.21,0.36,0.51,0.61,20,10,15,16,0.53,0.47,44,51,15,27,2,9,1,0,0,0,3,1,1.02,0.73,0.02,-0.27,0.0,0.0,0.0,0.0,9,4,0,0,0,0.0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0.0
18.0,Fulham,0,2,1,2,4,-2,2,Manchester Utd,0.0,24.08.2025,16:30,home,1,1,D,draw,1.76,1.62,0.52,0.48,13,10,4,3,3,3,9,6,0.84,0.83,1.0,1.0,1.38,0.55,4,6,5,1,10,8,3,2,0,1,38,25,2,0,2,1,9,11,0.49,0.39,0.82,0.74,0.3,0.29,2.08,0.74,21,17,12,10,0.8,0.65,41,53,24,27,8,5,0,0,0,1,2,3,0.55,1.38,0.55,0.38,0.0,0.0,0.0,1.0,9,13,1,0,0,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0.0
18.0,Fulham,0,2,1,2,4,-2,2,Chelsea,2.0,30.08.2025,12:30,away,0,2,L,opponent,1.02,2.35,0.46,0.54,11,13,3,6,1,3,4,6,0.81,0.87,2.0,2.0,0.1,3.18,6,1,2,6,8,10,3,3,0,0,20,27,1,1,1,3,11,16,0.4,0.36,0.68,0.78,0.33,0.31,0.47,0.84,20,18,17,11,0.41,0.47,56,60,20,20,6,18,1,1,0,0,4,3,3.18,0.1,1.18,-0.9,0.0,0.0,0.0,1.0,9,6,0,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-2,0.0,0.0
12.0,Leeds,1,1,1,1,5,-4,4,Everton,5.0,18.08.2025,20:00,home,1,0,W,team,2.14,0.8,0.54,0.46,21,7,3,1,3,1,7,2,0.83,0.79,0.0,2.0,1.07,0.1,7,3,11,3,12,5,9,2,0,0,28,14,0,0,1,2,7,6,0.45,0.32,0.73,0.62,0.27,0.36,0.84,0.44,23,21,6,8,0.47,0.75,45,47,30,31,9,2,0,2,0,0,1,2,0.1,1.07,0.1,0.07,0.0,0.0,0.0,0.0,10,8,1,1,1,1.0,1.0,1.0,0.5,0.5,1,0.1,1,1.0,0.73
12.0,Leeds,1,1,1,1,5,-4,4,Arsenal,3.0,23.08.2025,17:30,away,0,5,L,opponent,0.17,2.88,0.32,0.68,3,18,1,5,0,3,2,2,0.76,0.92,2.0,0.0,0.14,2.77,0,9,2,4,2,13,1,5,0,0,6,34,0,1,0,0,8,11,0.35,0.69,0.58,0.76,0.2,0.42,0.12,0.9,14,28,11,8,0.71,0.62,33,48,20,7,6,5,1,0,0,0,0,1,2.77,0.14,-2.23,0.14,0.0,0.0,0.0,1.0,10,0,0,2,2,0.5,0.5,1.0,0.0,0.5,0,0.1,-5,0.5,0.38
12.0,Leeds,1,1,1,1,5,-4,4,Newcastle,17.0,30.08.2025,17:30,home,0,0,D,draw,0.69,0.46,0.43,0.57,10,8,1,2,1,0,5,5,0.79,0.85,1.0,1.0,0.09,0.13,6,3,3,3,4,4,6,4,0,0,19,13,0,0,1,0,15,10,0.28,0.47,0.66,0.74,0.24,0.1,0.34,0.32,15,24,10,15,0.78,0.4,47,37,18,6,13,8,0,1,0,0,2,1,0.13,0.09,0.13,0.09,0.0,0.0,0.0,0.0,10,14,1,0,0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,0,0.1,0,0.3333333333333333,0.2633333333333333
