Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent
7.0,Elche,1,2,0,4,2,2,5,Levante,19.0,29.08.2025,18:30,home,2,0,W,team,1.12,0.71,0.67,0.33,16,11,5,1,1,1,4,2,0.89,0.8,1,2,0.0,0.0,1.63,0.23,7,8,4,2,13,5,3,6,0,1,19,14,0,1,1,1,16,14,0.65,0.44,0.81,0.61,0.29,0.33,0.91,0.52,15,12,14,17,0.77,0.31,45,36,17,24,10,5,1,0,0,0,1,3,0.23,1.63,0.23,-0.37,1.0,0.0
8.0,Betis,1,2,1,4,4,0,5,Elche,7.0,18.08.2025,20:00,away,1,1,D,draw,1.86,0.64,0.32,0.68,12,6,4,2,2,2,3,1,0.81,0.9,1,0,0.0,0.0,1.54,0.73,4,3,4,1,6,3,6,3,0,0,15,17,3,0,0,4,14,10,0.33,0.57,0.77,0.78,0.33,0.2,0.77,0.83,10,14,13,14,0.56,0.77,48,39,34,15,7,6,0,1,0,0,1,3,0.73,1.54,-0.27,0.54,0.0,0.0
8.0,Betis,1,2,1,4,4,0,5,Alaves,11.0,22.08.2025,20:30,home,1,0,W,team,1.95,1.13,0.49,0.51,16,11,5,5,3,3,5,2,0.86,0.82,2,3,0.0,0.0,1.41,0.33,7,5,4,1,10,6,6,5,1,0,30,11,0,0,2,3,14,10,0.57,0.45,0.72,0.69,0.32,0.25,1.03,0.37,15,19,10,17,0.45,0.43,51,63,31,27,11,7,1,1,0,0,5,4,0.33,1.41,0.33,0.41,0.0,0.0
8.0,Betis,1,2,1,4,4,0,5,Celta Vigo,14.0,27.08.2025,20:00,away,1,1,D,draw,0.33,0.83,0.53,0.47,7,14,2,5,2,2,4,10,0.9,0.89,2,1,0.0,0.0,0.44,0.5,2,6,3,3,3,10,4,4,0,1,11,32,1,1,2,5,13,10,0.66,0.5,0.82,0.79,0.33,0.2,0.7,1.05,16,14,11,13,0.6,0.76,40,37,35,23,4,7,0,1,1,0,4,1,0.5,0.44,-0.5,-0.56,1.0,0.0
8.0,Betis,1,2,1,4,4,0,5,Ath Bilbao,2.0,31.08.2025,18:00,home,1,2,L,opponent,0.62,1.1,0.5,0.5,9,15,2,6,1,2,4,10,0.82,0.85,1,4,0.0,1.0,1.02,0.87,4,5,3,4,6,9,3,6,1,0,18,24,0,1,3,2,15,9,0.45,0.46,0.68,0.73,0.27,0.25,0.41,0.89,18,22,9,16,0.64,0.73,65,43,20,18,12,11,0,1,0,0,4,1,0.87,1.02,-0.13,0.02,1.0,1.0
9.0,Valencia,1,1,1,4,2,2,4,Real Sociedad,16.0,16.08.2025,20:30,home,1,1,D,draw,2.04,0.81,0.54,0.46,18,13,2,3,2,1,8,7,0.86,0.86,1,2,0.0,0.0,0.52,0.57,7,7,9,3,11,6,7,7,0,0,31,24,2,2,1,2,11,5,0.63,0.63,0.68,0.77,0.21,0.15,1.33,0.66,17,19,5,11,0.42,0.74,38,37,26,36,5,4,0,0,0,0,2,1,0.57,0.52,-0.43,-0.48,0.0,0.0
9.0,Valencia,1,1,1,4,2,2,4,Osasuna,13.0,24.08.2025,16:00,away,0,1,L,opponent,0.41,0.83,0.44,0.56,4,16,1,4,1,1,4,3,0.8,0.82,1,2,1.0,0.0,0.02,0.65,2,6,1,6,1,9,3,7,0,0,7,25,0,0,1,2,12,13,0.36,0.58,0.61,0.72,0.08,0.11,0.51,0.65,21,15,13,14,0.58,0.77,32,48,32,18,5,8,0,0,0,0,3,1,0.65,0.02,-0.35,0.02,0.0,1.0
9.0,Valencia,1,1,1,4,2,2,4,Getafe,6.0,29.08.2025,20:30,home,3,0,W,team,1.08,0.74,0.57,0.43,7,11,4,1,3,1,8,6,0.81,0.81,2,0,0.0,0.0,1.4,0.35,1,6,2,4,5,7,2,4,0,1,11,19,0,0,0,5,7,16,0.45,0.39,0.57,0.67,0.18,0.33,0.52,0.56,28,22,18,7,0.67,0.63,44,43,33,27,3,5,0,0,0,0,1,1,0.35,1.4,0.35,-1.6,1.0,0.0
10.0,Rayo Vallecano,1,1,1,4,3,1,4,Girona,20.0,15.08.2025,18:00,away,3,1,W,team,3.44,0.56,0.56,0.44,16,7,5,2,4,1,4,2,0.86,0.77,1,0,0.0,1.0,3.2,0.72,10,2,1,3,12,3,4,4,0,0,26,9,1,0,1,1,8,16,0.42,0.34,0.74,0.6,0.6,0.17,1.74,0.51,19,25,17,8,0.48,0.69,58,53,18,18,8,3,1,2,0,1,1,2,0.72,3.2,-0.28,0.2,0.0,0.0
10.0,Rayo Vallecano,1,1,1,4,3,1,4,Ath Bilbao,2.0,25.08.2025,18:30,away,0,1,L,opponent,0.29,1.51,0.59,0.41,6,11,1,4,1,2,6,3,0.83,0.76,4,0,0.0,0.0,0.17,1.26,2,3,3,4,2,5,4,6,0,0,12,29,0,2,7,0,11,12,0.48,0.47,0.57,0.57,0.17,0.25,0.23,0.77,21,12,13,13,0.44,0.71,43,51,20,25,13,5,1,1,0,0,3,1,1.26,0.17,0.26,0.17,0.0,0.0
