Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
1.0,Feyenoord,4,0,0,9,1,8,12,Heerenveen,17.0,13.09.2025,20:00,home,1,0,W,team,0.9,1.17,0.47,0.53,10,11,5,1,3,1,6,3,0.81,0.74,2.0,2.0,1.86,0.32,4,4,1,6,8,7,1,4,0,0,27,29,0,0,4,1,11,9,0.49,0.38,0.66,0.63,0.16,0.13,0.65,1.18,18,23,10,11,0.71,0.88,60,36,43,23,11,8,1,0,0,0,1,4,0.32,1.86,0.32,0.86,1.0,1.0,0.0,0.0,4,7,1,1,1,1.0,1.0,1.0,0.5,0.5,2,0.30000000000000004,1,1.0,0.79
1.0,Feyenoord,4,0,0,9,1,8,12,Excelsior,16.0,16.08.2025,17:45,away,2,1,W,team,2.51,1.07,0.53,0.47,16,8,8,2,5,1,6,5,0.81,0.77,2.0,0.0,2.74,0.36,4,5,4,1,12,4,4,4,0,2,33,13,2,2,0,1,16,8,0.21,0.39,0.67,0.57,0.27,0.29,1.06,0.91,20,14,8,17,0.5,0.63,66,55,31,31,3,6,1,0,2,0,1,6,0.36,2.74,-0.64,0.74,0.0,0.0,1.0,0.0,4,2,0,1,1,1.0,1.0,1.0,1.0,0.5,3,0.6,1,1.0,0.8799999999999999
1.0,Feyenoord,4,0,0,9,1,8,12,Sparta Rotterdam,8.0,31.08.2025,13:30,away,4,0,W,team,2.52,0.55,0.62,0.38,24,7,11,2,3,0,9,1,0.87,0.73,2.0,1.0,4.02,0.41,7,3,6,2,16,4,8,3,1,0,72,16,1,0,2,2,5,9,0.68,0.55,0.77,0.55,0.17,0.11,3.45,1.13,15,12,9,5,0.55,0.47,52,40,26,31,5,8,0,1,0,0,2,7,0.41,4.02,0.41,0.02,0.0,1.0,0.0,0.0,4,13,0,1,1,1.0,1.0,1.0,1.0,0.5,4,0.6,4,1.0,0.8799999999999999
11.0,G.A. Eagles,1,3,1,9,9,0,6,Sittard,9.0,08.08.2025,19:00,away,2,2,D,draw,1.17,2.34,0.33,0.67,6,36,2,8,2,1,5,8,0.74,0.88,2.0,2.0,1.04,2.2,2,13,2,15,6,23,0,13,0,0,17,43,0,0,1,0,9,9,0.27,0.44,0.48,0.86,0.33,0.31,0.68,1.76,14,15,9,10,0.63,0.53,34,46,43,20,6,6,0,0,0,1,6,0,2.2,1.04,0.2,0.04,1.0,0.0,0.0,0.0,5,12,0,0,0,0.0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0.0
11.0,G.A. Eagles,1,3,1,9,9,0,6,FC Volendam,12.0,13.09.2025,17:45,home,3,0,W,team,2.14,1.31,0.46,0.54,19,19,13,1,6,2,7,7,0.79,0.84,1.0,1.0,3.88,0.1,4,8,2,10,12,11,7,8,0,0,19,32,1,0,2,1,8,12,0.44,0.53,0.67,0.69,0.37,0.14,1.64,0.89,17,16,12,9,0.67,0.2,36,34,33,20,8,11,0,1,0,1,1,10,0.1,3.88,0.1,0.88,0.0,0.0,1.0,0.0,5,3,1,1,1,0.5,0.5,1.0,0.0,0.5,1,0.2,3,0.5,0.41000000000000003
11.0,G.A. Eagles,1,3,1,9,9,0,6,Ajax,3.0,17.08.2025,11:15,home,2,2,D,draw,0.66,1.76,0.48,0.52,9,22,4,11,2,4,6,9,0.85,0.89,1.0,2.0,1.57,2.65,2,7,3,4,5,17,4,5,0,0,22,42,1,0,2,2,10,9,0.41,0.33,0.68,0.87,0.15,0.2,1.38,1.26,16,7,9,12,0.55,0.69,41,35,16,29,2,13,1,0,1,1,9,2,2.65,1.57,0.65,-0.43,0.0,0.0,1.0,2.0,5,1,1,0,0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,0,0.2,0,0.3333333333333333,0.29333333333333333
11.0,G.A. Eagles,1,3,1,9,9,0,6,Sparta Rotterdam,8.0,23.08.2025,15:30,home,0,3,L,opponent,2.6,1.71,0.68,0.32,19,13,6,5,4,3,12,1,0.88,0.76,0.0,2.0,1.35,1.8,10,6,3,2,14,10,5,3,0,0,35,21,0,1,3,1,7,6,0.51,0.43,0.78,0.66,0.21,0.14,1.9,1.21,14,5,6,8,0.8,0.69,28,47,11,45,7,6,0,0,0,0,2,6,1.8,1.35,-1.2,1.35,0.0,0.0,0.0,0.0,5,13,1,2,2,0.25,0.25,0.3333333333333333,0.0,0.5,0,0.1,-3,0.25,0.20500000000000002
11.0,G.A. Eagles,1,3,1,9,9,0,6,Heerenveen,17.0,30.08.2025,17:45,away,2,2,D,draw,1.19,2.73,0.44,0.56,11,19,5,5,2,4,7,3,0.78,0.82,1.0,3.0,1.69,2.79,2,6,4,8,9,11,2,8,1,0,24,40,1,0,0,0,9,11,0.43,0.39,0.65,0.74,0.17,0.12,0.61,1.87,27,21,12,9,0.42,0.73,47,57,32,35,6,4,0,0,0,0,3,3,2.79,1.69,0.79,-0.31,0.0,0.0,0.0,0.0,5,7,0,0,0,0.2,0.2,0.3333333333333333,0.0,0.5,0,0.0,0,0.2,0.14
7.0,Groningen,3,0,2,10,9,1,9,AZ Alkmaar,4.0,10.08.2025,13:30,away,1,4,L,opponent,1.49,1.56,0.49,0.51,12,10,8,5,4,3,1,6,0.8,0.77,2.0,2.0,1.54,1.83,3,3,1,2,7,8,4,2,1,0,13,29,1,0,0,1,10,12,0.38,0.49,0.67,0.62,0.29,0.4,1.14,1.21,18,18,12,11,0.57,0.58,41,56,13,24,14,10,1,1,0,1,2,7,1.83,1.54,-1.17,0.54,0.0,0.0,1.0,0.0,6,0,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-3,0.0,0.0
7.0,Groningen,3,0,2,10,9,1,9,Utrecht,6.0,14.09.2025,13:30,away,1,0,W,team,1.58,1.31,0.55,0.45,13,14,6,3,2,0,4,3,0.77,0.73,4.0,0.0,1.71,0.57,3,8,4,3,9,9,4,5,0,0,19,13,0,0,1,1,9,16,0.49,0.41,0.6,0.55,0.23,0.37,1.15,0.8,22,19,16,9,0.68,0.58,65,58,26,24,4,10,0,1,0,0,3,5,0.57,1.71,0.57,0.71,0.0,0.0,1.0,0.0,6,16,0,1,1,0.5,0.5,0.5,0.5,0.5,1,0.2,1,0.5,0.41000000000000003
