Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
4.0,Anderlecht,15,6,9,50,27,23,51,Antwerp,5.0,09.02.2025,12:30,home,2,0,W,team,2.19,0.53,0.55,0.45,15,9,5,3,5.0,0.0,9,2,0.85,0.83,1.0,4.0,0.0,0.0,4,4,6.0,2.0,12.0,5.0,3.0,4.0,0.0,0.0,25.0,15.0,2,3,14.0,9.0,0.74,0.61,0.18,0.45,20,21,9,14,0.72,0.57,12.0,25.0,2.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0.6363636363636364,0.8,0.8,0.5,1.0,3,0.6,2,0.8,0.7400000000000001
4.0,Anderlecht,15,6,9,50,27,23,51,Westerlo,9.0,09.03.2025,15:00,away,0,2,L,opponent,1.18,2.17,0.63,0.37,17,15,2,4,0.0,1.0,9,7,0.85,0.73,0.0,1.0,0.0,0.0,7,6,8.0,5.0,13.0,10.0,4.0,5.0,0.0,0.0,37.0,20.0,2,1,10.0,11.0,0.76,0.52,0.23,0.27,19,22,11,10,0.67,0.77,24.0,44.0,9.0,8.0,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0,2,2,0.5833333333333334,0.6,0.8,0.42857142857142855,0.5,0,0.30000000000000004,-2,0.6,0.51
4.0,Anderlecht,15,6,9,50,27,23,51,Royale Union SG,3.0,10.05.2025,19:45,home,0,1,L,opponent,1.13,2.16,0.61,0.39,6,7,2,3,2.0,3.0,2,4,0.8,0.76,2.0,4.0,0.0,0.0,3,2,1.0,2.0,5.0,5.0,1.0,2.0,0.0,0.0,12.0,23.0,1,2,12.0,11.0,0.61,0.61,0.27,0.25,23,21,11,12,0.78,0.68,18.0,15.0,6.0,11.0,2,2,0.74,1.35,0.0,0.0,0.0,0.0,0.49,0.58,0.39,0.85,40.0,46.0,0.0,0.0,1.0,0.0,1.35,0.74,0.35,0.74,0,13,1,2,2,0.5384615384615384,0.6,0.6666666666666666,0.42857142857142855,0.0,0,0.1,-1,0.6,0.44999999999999996
4.0,Anderlecht,15,6,9,50,27,23,51,Leuven,11.0,10.08.2024,19:45,home,1,1,D,draw,0.0,0.0,0.59,0.41,19,10,2,4,0.0,0.0,9,4,0.0,0.0,3.0,2.0,0.0,0.0,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,21,24,10,14,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,1,0,0,0.5,0.4,0.5714285714285714,0.42857142857142855,0.0,0,0.0,0,0.4,0.28
4.0,Anderlecht,15,6,9,50,27,23,51,Cercle Brugge KSV,13.0,10.11.2024,12:30,away,5,0,W,team,3.04,0.48,0.6,0.4,10,12,5,3,0.0,0.0,3,5,0.75,0.62,3.0,1.0,0.0,1.0,3,7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,9.0,15.0,0.0,0.0,0.0,0.0,31,20,15,9,0.0,0.0,0.0,0.0,13.0,8.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,1,1,0.5333333333333333,0.4,0.5714285714285714,0.5,0.5,1,0.3,5,0.4,0.37000000000000005
4.0,Anderlecht,15,6,9,50,27,23,51,Club Brugge KV,2.0,12.01.2025,17:30,home,0,3,L,opponent,0.99,1.23,0.44,0.56,10,12,5,5,5.0,3.0,8,5,0.84,0.86,1.0,0.0,0.0,0.0,3,4,2.0,3.0,7.0,8.0,3.0,4.0,0.0,0.0,17.0,30.0,3,1,5.0,8.0,0.73,0.75,0.14,0.19,9,14,8,5,0.56,0.58,19.0,17.0,10.0,8.0,2,5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1,2,2,0.5,0.2,0.5,0.5,0.5,0,0.2,-3,0.2,0.2
4.0,Anderlecht,15,6,9,50,27,23,51,Royale Union SG,3.0,12.04.2025,19:45,away,0,2,L,opponent,0.3,1.13,0.57,0.43,5,10,1,3,0.0,1.0,1,4,0.81,0.77,4.0,4.0,0.0,0.0,1,2,3.0,5.0,3.0,6.0,2.0,4.0,0.0,0.0,13.0,21.0,1,4,18.0,11.0,0.73,0.53,0.11,0.29,25,19,11,18,0.68,0.58,18.0,15.0,6.0,8.0,1,1,0.03,1.96,0.0,0.0,0.0,0.0,0.49,0.43,0.76,0.48,65.0,59.0,0.0,0.0,0.0,0.0,1.96,0.03,-0.04,0.03,0,13,0,2,2,0.47058823529411764,0.2,0.5,0.4444444444444444,0.0,0,0.1,-2,0.2,0.17
4.0,Anderlecht,15,6,9,50,27,23,51,Westerlo,9.0,14.09.2024,19:45,home,2,2,D,draw,0.0,0.0,0.66,0.34,25,17,8,8,0.0,0.0,3,4,0.0,0.0,4.0,5.0,0.0,0.0,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,13,12,11,16,0.0,0.0,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,1,0,0,0.4444444444444444,0.2,0.4444444444444444,0.4444444444444444,0.0,0,0.0,0,0.2,0.14
4.0,Anderlecht,15,6,9,50,27,23,51,St. Truiden,14.0,15.12.2024,17:30,away,2,0,W,team,3.07,2.28,0.51,0.49,10,25,5,6,6.0,3.0,1,9,0.84,0.86,1.0,1.0,1.0,0.0,4,11,1.0,8.0,8.0,11.0,2.0,14.0,0.0,1.0,22.0,30.0,2,1,16.0,10.0,0.74,0.79,0.25,0.27,21,11,10,16,0.55,0.73,25.0,16.0,11.0,10.0,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,1,1,0.47368421052631576,0.4,0.4444444444444444,0.5,0.5,1,0.3,2,0.4,0.37000000000000005
4.0,Anderlecht,15,6,9,50,27,23,51,Charleroi,10.0,16.02.2025,17:30,away,1,0,W,team,0.97,0.67,0.49,0.51,5,13,1,4,1.0,0.0,6,3,0.8,0.83,3.0,1.0,0.0,0.0,3,6,1.0,3.0,4.0,6.0,1.0,7.0,0.0,1.0,32.0,23.0,0,1,14.0,11.0,0.65,0.72,0.33,0.28,17,20,11,14,0.68,0.5,29.0,29.0,9.0,9.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,1,1,0.5,0.4,0.4444444444444444,0.5454545454545454,0.5,2,0.5,1,0.4,0.43
