Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
3.0,Din. Bucuresti,4,3,1,12,8,4,15,Otelul,10.0,27.07.2025,19:30,away,1,2,L,opponent,2.73,1.55,0.65,0.35,16,11,6,4,6,1,3,8,0.86,0.67,3.0,1.0,2.14,1.33,7,2,3,5,13,7,3,4,0,0,0.0,0.0,38,14,1,0,0,1,12,6,0.55,0.38,0.77,0.48,0.46,0.28,2.61,0.74,15,21,6,12,0.62,0.85,54,49,34,25,8,7,0,0,1,0,2,5,1.33,2.14,-0.67,1.14,0.0,0.0,2,10,0,2,2,0.42857142857142855,0.2,0.3333333333333333,0.5,0.5,0,0.2,-1,0.2,0.2
3.0,Din. Bucuresti,4,3,1,12,8,4,15,FC Hermannstadt,11.0,30.08.2025,19:30,home,2,0,W,team,1.94,0.57,0.64,0.36,17,12,5,2,3,2,5,9,0.89,0.77,2.0,1.0,2.45,0.5,7,7,5,3,9,7,8,5,0,0,0.0,0.0,26,17,0,0,1,0,8,15,0.7,0.43,0.79,0.73,0.38,0.24,1.03,0.3,18,21,15,8,0.69,0.47,53,49,20,14,8,15,1,1,0,0,2,3,0.5,2.45,0.5,0.45,0.0,0.0,2,5,1,1,1,0.5,0.4,0.5,0.5,0.5,1,0.4,2,0.4,0.4
4.0,FC Arges,5,0,3,13,10,3,15,Csikszereda M. Ciuc,15.0,02.08.2025,16:30,home,3,1,W,team,1.67,0.25,0.41,0.59,13,4,3,2,3,0,2,0,0.74,0.79,3.0,1.0,2.09,0.35,8,2,2,0,9,2,4,2,0,0,1.0,0.0,22,6,0,0,1,5,11,18,0.45,0.51,0.58,0.55,0.47,0.13,1.16,0.19,22,32,18,11,0.6,0.86,55,46,29,20,11,6,0,0,0,0,1,0,0.35,2.09,-0.65,-0.91,0.0,0.0,3,1,1,1,1,1.0,1.0,1.0,0.5,0.5,1,0.1,2,1.0,0.73
4.0,FC Arges,5,0,3,13,10,3,15,FC Rapid Bucuresti,2.0,11.07.2025,19:30,home,0,2,L,opponent,1.15,0.35,0.48,0.52,13,9,2,5,2,0,7,1,0.77,0.79,5.0,4.0,0.24,0.5,7,3,4,1,8,3,5,6,1,0,0.0,0.0,25,13,0,0,1,0,16,23,0.44,0.3,0.63,0.72,0.09,0.08,0.96,0.94,24,34,23,16,0.52,0.65,64,59,32,31,12,10,0,1,0,0,3,2,0.5,0.24,-1.48,0.24,0.0,0.0,3,6,1,2,2,0.5,0.5,0.5,0.5,0.5,0,0.1,-2,0.5,0.38
4.0,FC Arges,5,0,3,13,10,3,15,FC Botosani,5.0,11.08.2025,17:00,away,1,3,L,opponent,1.22,1.3,0.5,0.5,16,14,4,7,4,3,6,4,0.65,0.59,1.0,2.0,1.09,2.22,9,5,3,2,12,8,4,6,0,0,0.0,0.0,27,21,0,2,2,1,13,9,0.45,0.29,0.57,0.52,0.38,0.18,0.88,1.34,41,31,10,13,0.6,0.68,66,64,27,41,9,2,1,0,0,1,4,3,2.22,1.09,-0.78,0.09,0.0,0.0,3,4,0,2,2,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,0,0.1,-2,0.3333333333333333,0.2633333333333333
4.0,FC Arges,5,0,3,13,10,3,15,Univ. Craiova,1.0,18.07.2025,19:30,away,1,3,L,opponent,1.02,0.96,0.35,0.65,11,8,2,2,2,3,4,1,0.69,0.81,4.0,2.0,0.45,1.24,6,0,3,6,6,3,5,5,0,0,0.0,0.0,19,16,0,0,0,1,13,21,0.31,0.38,0.57,0.64,0.32,0.17,0.68,0.37,33,21,21,13,0.5,0.68,59,64,16,31,8,14,0,1,0,0,0,1,1.24,0.45,-0.76,-0.55,0.0,0.0,3,15,0,2,2,0.25,0.25,0.5,0.0,0.5,0,0.0,-2,0.25,0.175
4.0,FC Arges,5,0,3,13,10,3,15,Otelul,10.0,18.08.2025,17:00,home,2,0,W,team,1.45,0.58,0.44,0.56,13,10,6,3,2,0,3,9,0.62,0.75,1.0,2.0,1.66,0.44,6,6,1,1,7,6,6,4,1,0,1.0,0.0,19,15,0,0,1,1,9,12,0.29,0.43,0.49,0.58,0.38,0.22,0.5,0.52,41,37,12,9,0.57,0.56,48,51,40,30,10,16,0,0,0,0,3,4,0.44,1.66,0.44,-0.34,0.0,0.0,3,10,1,1,1,0.4,0.4,0.6666666666666666,0.0,0.5,1,0.3,2,0.4,0.37000000000000005
4.0,FC Arges,5,0,3,13,10,3,15,FCSB,13.0,24.08.2025,19:30,away,2,0,W,team,0.98,1.14,0.29,0.71,12,16,3,1,1,1,12,11,0.65,0.83,1.0,1.0,0.75,0.12,5,8,4,7,7,10,5,6,1,1,0.0,0.0,16,38,1,1,0,3,5,11,0.27,0.63,0.55,0.7,0.13,0.17,0.49,1.48,17,25,14,5,0.72,0.55,48,55,48,28,15,3,0,2,0,0,1,1,0.12,0.75,0.12,-0.25,0.0,0.0,3,7,0,1,1,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,2,0.5,2,0.4,0.43
4.0,FC Arges,5,0,3,13,10,3,15,CFR Cluj,14.0,27.07.2025,16:30,away,2,0,W,team,0.83,1.01,0.37,0.63,11,12,4,1,2,2,4,8,0.6,0.76,3.0,2.0,2.82,0.22,7,6,0,5,6,6,5,6,0,0,1.0,0.0,10,19,0,0,1,2,13,9,0.3,0.44,0.47,0.59,0.27,0.19,1.02,0.9,19,30,9,13,0.67,0.17,55,53,35,21,12,4,1,1,0,0,1,2,0.22,2.82,0.22,0.82,0.0,0.0,3,0,0,1,1,0.5714285714285714,0.6,0.6666666666666666,0.5,0.5,3,0.6,2,0.6,0.6
4.0,FC Arges,5,0,3,13,10,3,15,Metaloglobus Bucharest,16.0,31.08.2025,14:00,home,2,1,W,team,1.91,0.77,0.37,0.63,18,12,5,2,4,1,4,3,0.66,0.81,2.0,3.0,2.16,0.35,11,5,2,5,10,9,8,3,1,0,0.0,0.0,29,16,0,0,0,0,17,10,0.37,0.36,0.54,0.68,0.31,0.29,0.56,0.52,26,24,10,17,0.45,0.83,54,41,21,29,8,6,0,1,0,0,1,3,0.35,2.16,-0.65,0.16,0.0,0.0,3,9,1,1,1,0.625,0.8,0.75,0.5,0.5,4,0.6,1,0.8,0.7400000000000001
