Rank,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,opponent_rank,Time,team_goals,opponent_goals,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Passes_team,stat_Passes_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent
1.0,15,11,4,43,24,19,56,6.0,0.9499999995249999,3,3,0.59,0.41,18,10,6,4,13,5,6.0,5.0,7,3,5,3,5,1,18.0,17.0,22,23,17,18,1,3,3.08,0.63,5.0,1.0,0.75,0.66,0.0,1.0,12.0,6.0,6.0,4.0,0.0,0.0,1.0,1.0,31.0,15.0,0.58,0.57,0.36,0.44,0.64,0.75,17.0,22.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,8.0,0.89999999955,1,1,0.69,0.31,24,1,8,1,9,2,3.0,1.0,9,0,7,0,4,2,7.0,11.0,36,25,11,7,0,7,1.97,0.38,4.0,1.0,0.85,0.63,0.0,0.0,20.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,64.0,7.0,0.76,0.39,0.29,0.2,0.63,0.56,5.0,50.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,3.0,0.89999999955,1,0,0.52,0.48,5,16,2,3,4,6,5.0,3.0,3,5,0,8,3,2,7.0,13.0,17,17,13,7,3,1,0.58,0.75,1.0,0.0,0.8,0.85,0.0,0.0,3.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,8.0,27.0,0.59,0.76,0.14,0.26,0.68,0.83,23.0,10.0,5.0,16.0,1.2,0.13,0.0,0.0,0.52,0.69,0.33,1.12,41.0,47.0,0.0,0.0,0.13,1.2,0.13,0.2
1.0,15,11,4,43,24,19,56,13.0,0.9999999995,0,1,0.67,0.33,13,15,2,4,7,4,6.0,4.0,9,5,2,6,3,0,6.0,6.0,27,16,10,13,3,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,15.0,0.9999999995,2,2,0.69,0.31,12,10,4,4,9,4,2.0,3.0,4,4,4,2,1,1,12.0,12.0,20,14,11,16,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,2.0,0.89999999955,3,2,0.45,0.55,6,17,4,7,2,7,4.0,3.0,2,2,0,8,0,2,9.0,15.0,15,27,15,9,5,1,2.09,1.75,3.0,3.0,0.77,0.79,1.0,0.0,4.0,11.0,2.0,6.0,0.0,1.0,0.0,0.0,9.0,32.0,0.54,0.64,0.0,0.12,0.7,0.5,56.0,15.0,7.0,11.0,2.76,2.57,1.0,0.0,0.48,0.34,0.71,1.34,55.0,53.0,0.0,0.0,2.57,2.76,0.57,-0.24
1.0,15,11,4,43,24,19,56,5.0,0.9499999995249999,2,0,0.44,0.56,15,8,4,1,4,1,4.0,1.0,4,3,7,4,1,1,16.0,20.0,18,32,20,16,1,2,1.03,0.3,0.0,0.0,0.73,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,9.0,0.9649999995174999,1,1,0.45,0.55,9,13,4,3,2,3,6.0,4.0,3,7,2,3,1,0,12.0,6.0,12,14,13,17,2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,14.0,0.89999999955,0,1,0.67,0.33,18,13,4,4,8,3,3.0,3.0,8,6,6,3,5,1,9.0,16.0,29,21,16,9,3,4,1.88,0.64,1.0,1.0,0.79,0.6,0.0,0.0,13.0,6.0,5.0,7.0,1.0,0.0,0.0,0.0,32.0,25.0,0.58,0.49,0.24,0.3,0.53,0.57,28.0,40.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,5.0,0.89999999955,2,1,0.45,0.55,12,11,7,4,4,4,1.0,2.0,3,6,2,1,1,0,17.0,11.0,32,21,11,17,3,5,1.09,1.07,1.0,1.0,0.73,0.76,0.0,0.0,11.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,19.0,11.0,0.62,0.69,0.2,0.14,0.57,0.65,19.0,14.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
